State,Sum,Count
DF,25,1
ON,30,1
D,50,1
D ,50,1
FD,50,1
AE,65,1
 N,100,1
GR,100,1
`,250,1
NW,400,1
MM,500,1
EN,550,2
 V,575,2
HI,1149,9
IA,1755,17
VI,2000,3
ND,2325,9
AK,2611.14,11
DD,2780,13
KY,2845,17
PR,2913,13
UT,3050,13
MS,3830.08,13
SD,3860,28
MT,4720.12,7
NM,5208.95,15
ID,6400,14
VT,6675,32
KS,6945.14,26
ME,8575,30
WI,9195,37
NH,10000,27
OR,10617.22,91
AR,14570,31
OK,14971,39
NE,19930.5,26
RI,20986,64
MN,22635.25,87
WV,25196,50
WA,33159.79,130
LA,33419,92
NV,36015,60
AL,43791.8,130
IN,47424.2,123
MI,51044.06,239
SC,53607.11,114
DE,70495,162
CO,74194.35,175
NC,85010.86,225
MO,85629,143
TN,103795,164
CT,105169.37,207
MA,125768.6,344
(blank),152113.2,437
AZ,165105,173
TX,167895.11,353
IL,190517.95,476
NJ,198888.99,451
OH,202571.08,326
GA,258581.87,607
PA,372770.95,656
FL,438979.52,739
CA,603497.55,1269
NY,826153.78,1663
VA,3755267,7985
MD,8388664.98,17095
DC,34571065.88,110837
